Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
alkalal,RO,617,1474,195.254.135.76,195.254.135.76,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-11-13,FASTWEB-RO-AS SC Fastweb SRL-RO,38935,2580,None
alkazarix,RU,1856,20,77.51.71.7,77.51.71.7,9001,None,0,1,1,0,0,0,1,1,0,Tor 0.2.6.9 on FreeBSD,0,0,2015-11-13,CTCNET-AS 29/2 Narodnogo Opolcheniya str.- RU,25515,650,None
Allan,FR,1175,134,109.212.35.210,ALyon-653-1-44-210.w109-212.abo.wanadoo.fr,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-12-22,AS3215 Orange S.A.- FR,3215,6440,None
AlligaTor,DE,3824,3324,85.31.186.253,85-31-186-253.blue.kundencontroller.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-01-20,ISPPRO-AS ISPpro Internet KG-DE,35366,15200,None
Alligatorfish,US,1025,115,96.47.231.214,96.47.231.214.static.afterburst.com,8080,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-06-23,ASN-QUADRANET-GLOBAL - QuadraNet- Inc-US,8100,5410,None
alliumursinum,DE,35,117,178.254.30.86,v36644.1blu.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2014-07-08,EVANZOAS EVANZO e-commerce GmbH-DE,42730,142,None
AllquanTor,DE,1426,2548,89.163.224.212,ms211.moonshot.fastwebserver.de,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-03-02,MYLOC-AS myLoc managed IT AG-DE,24961,12800,None
allrightnameFilebox,US,288,2666,96.35.130.131,tor.allrightname.com,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-08,CHARTER-NET-HKY-NC - Charter Communications-US,20115,162,None
AllygaTorr,FR,112,427,195.154.113.163,ternate.ordimatic.net,9021,9022,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-12-26,AS12876 ONLINE S.A.S.-FR,12876,633,None
alnutt,EE,1271,985,95.153.31.8,m95-153-31-8.cust.tele2.ee,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-11-05,TELEVORK-AS Televorgu AS-EE,39301,7580,None
AloneWithOurRecords,DE,565,31,78.47.174.155,back-of-beyond.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2012-08-06,HETZNER-AS Hetzner Online GmbH-DE,24940,2160,None
alpha7bravo,US,20,1434,174.29.197.250,174-29-197-250.hlrn.qwest.net,9002,None,0,0,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2013-01-07,CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company- LLC- US,209,2,None
alphaatcost,CA,235,26,162.219.4.93,alpha.ruhrpott.me,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2016-02-16,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,1220,None
AlphaChannel,DE,76,113,91.64.194.138,ip5b40c28a.dynamic.kabel-deutschland.de,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-05-27,KABELDEUTSCHLAND-AS Vodafone Kabel Deutschland GmbH- DE,31334,446,None
alphafidi,US,30,133,207.237.88.19,207-237-88-19.c3-0.nyw-ubr1.nyr-nyw.ny.cable.rcn.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-05-07,RCN-AS - RCN- US,6079,108,None
alphaprofreedom,US,9,477,69.164.206.176,tx.alphaclan.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2013-11-22,SOFTLAYER - SoftLayer Technologies Inc.-US,36351,81,None
AlphaXYZ,GB,1690,696,163.172.135.172,node1.tor-relay.xyz,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-05-08,AS12876 ONLINE S.A.S.- FR,12876,16400,[2001:bc8:4400:2100::1:a07]:443
alpine123,US,73,564,45.32.68.190,45.32.68.190.vultr.com,9731,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-12-17,AS-CHOOPA - Choopa- LLC-US,20473,457,None
alsterelbe,DE,11,161,95.143.172.191,pavo.uberspace.de,61904,None,0,0,1,0,0,1,1,1,0,Tor 0.2.6.10 on Linux,0,0,2015-08-27,RHTEC-AS rh-tec Business GmbH- DE,25560,87,None
alt3torrelay,FR,17,3775,37.187.19.140,cbjp.fr,9001,None,0,1,0,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-01-02,OVH OVH SAS-FR,16276,19,None
alternativlos,DE,186,600,213.136.94.10,tor.zproxy.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on OpenBSD,0,0,2015-07-13,CONTABO Contabo GmbH-DE,51167,2190,[2a02:c200:1:10:3:0:6091:1]:9001
alternativlos2,DE,299,192,78.46.223.134,dismail.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on OpenBSD,0,0,2016-04-01,HETZNER-AS Hetzner Online GmbH-DE,24940,1660,[2a01:4f8:c17:e5e::2]:9001
alterspalter,DE,1628,987,85.93.16.47,85.93.16.47,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-01,ASGHOSTNET GHOSTnet GmbH-DE,12586,6730,[2a00:1910:55ef::124]:9001
altitude,US,135,1821,158.69.205.204,204.ip-158-69-205.net,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-10-14,OVH OVH SAS-FR,16276,886,None
alupigus,RO,18,116,86.125.230.50,86-125-230-50.rdsnet.ro,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-11-30,RCS-RDS RCS & RDS SA- RO,8708,202,None
amanaemonesia,FI,279,438,212.149.217.225,212-149-217-225.bb.dnainternet.fi,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2015-12-26,DNA DNA Oy-FI,16086,1260,None
amb,CA,95,15,47.54.234.86,stjhnbsu1kw-047054234086.dhcp-dynamic.FibreOP.nb.bellaliant.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2015-03-21,CANET-ASN-4 - Bell Aliant Regional Communications- Inc.-CA,855,622,None
ambricourt,FR,980,477,37.59.72.135,37.59.72.135,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-05-18,OVH OVH SAS- FR,16276,8750,None
AMDmi3x1,RU,1126,113,185.125.217.66,ihor-1.amdmi3.ru,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2015-11-21,AS-MAROSNET MAROSNET Telecommunication Company LLC-RU,48666,7600,[2a02:f680:1:1100::174]:9001
